Nom de l'instrument : SAM_839E
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_839e.dat
Date : 2017-07-01
Heure : 20:28:37
InclX : -10
InclY : 1.36
Pressure : +INF
Comment : 
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			0.09336089600562987
318			0.12789506505785533
319			0.13791527406787982
320			0.13118077412367635
321			0.11545081631321794
322			0.09848465172447758
323			0.0880415314454283
324			0.09155786123195349
325			0.10980786668012564
326			0.13730191222714566
327			0.16830949135858028
328			0.19759846961382171
329			0.22106305863833658
330			0.23475213103271858
331			0.2355151390124903
332			0.2250008599234005
333			0.20663841701871488
334			0.18378837144843907
335			0.15842050171041086
336			0.13124155735133297
337			0.10292224573579864
338			0.07604895030088157
339			0.057403105228794216
340			0.0543217061058373
341			0.07196156233211358
342			0.10277793112708994
343			0.13463883174469407
344			0.155835725952955
345			0.1627576497394094
346			0.15900861823408396
347			0.14844511127344903
348			0.13493359335130178
349			0.122362069322701
350			0.11462134773079391
351			0.11481209777801
352			0.12148036814878292
353			0.13154366391791428
354			0.1419821655293446
355			0.1509875503797895
356			0.15782649783466815
357			0.16180660734182176
358			0.16289880476025612
359			0.1625060800501362
360			0.16221797746002523
361			0.16332495771422353
362			0.16538245726589
363			0.16732180620547954
364			0.1681620153583636
365			0.16860649266035357
366			0.17086836180703868
367			0.17720555587962536
368			0.1881835107814019
369			0.2006562213363985
370			0.2109853833157782
371			0.21635973287913535
372			0.21887502498204958
373			0.22242982833594194
374			0.23074729661386506
375			0.24402325445877385
376			0.25921694372223186
377			0.27317195645024633
378			0.28368653757671225
379			0.2907156803525714
380			0.29451039809150786
381			0.2954345533050428
382			0.29454745295965007
383			0.29317308894700606
384			0.2926101772792097
385			0.29361428198105444
386			0.2964242594924947
387			0.3012599089993443
388			0.3087406841685897
389			0.32042894882075695
390			0.3380229854910216
391			0.3628496978815665
392			0.3938234071376021
393			0.42889464813112327
394			0.4660189461836707
395			0.5033241405077195
396			0.539110054910028
397			0.5716876929027518
398			0.6007668121911246
399			0.6295486905857601
400			0.6617704031618947
401			0.7003062532842574
402			0.7420369878157186
403			0.7812998526365186
404			0.8126790274203745
405			0.8373051017129077
406			0.8632407547703315
407			0.8988745804141346
408			0.948293733100641
409			1.0040821944106892
410			1.0569214803043083
411			1.098449108309445
412			1.1275047736013395
413			1.1462104982153398
414			1.1567775740385808
415			1.1635398784879838
416			1.1732410161165856
417			1.1927513712626854
418			1.225180152528367
419			1.2627297288105395
420			1.2956367035341463
421			1.3155817612742289
422			1.3262094042101937
