Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-05
Heure : 13:58:56
InclX : 
InclY : 
Pressure : 
Comment : J4-2
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			273.44680842402715
318			268.11771696049607
319			265.0350753390236
320			263.84971279753205
321			264.2124585739436
322			265.77414190618043
323			268.18559203216495
324			271.1041828763404
325			274.3514886948837
326			277.9212594775749
327			281.8148810943439
328			285.8323731479212
329			289.26580184548743
330			291.328380837178
331			291.43753801357724
332			290.37947253446157
333			289.50290518953676
334			290.1134116153188
335			292.5044191819483
336			295.9681528277251
337			299.7548162988604
338			303.30685692683056
339			306.5244378904821
340			309.3743778145685
341			311.88268529482247
342			314.44996523396185
343			317.62293288636084
344			321.92507030264693
345			327.38670440028403
346			333.57071409422826
347			340.0216730191062
348			346.3113274775889
349			352.07353931565774
350			356.9508108562324
351			360.64325954428074
352			363.2017101789607
353			364.80894836416866
354			365.65229467603876
355			366.00478770869114
356			366.2184867807194
357			366.6487891008111
358			367.7323372992945
359			370.0869507121014
360			374.3549487320701
361			381.01340576827454
362			389.55517891985477
363			399.11022454201424
364			408.80766120712025
365			417.7714275101531
366			425.12075198041714
367			429.9773682748712
368			432.0044819765307
369			432.06088595921386
370			431.1652229543712
371			430.29067570585335
372			430.14119343452126
373			431.32197888380034
374			434.388843548543
375			438.9383469279032
376			443.69520991719844
377			447.35470672687126
378			449.07812733786676
379			449.0599471630064
380			447.6334277279731
381			445.24893308981933
382			443.05693348084446
383			442.46695200585486
384			444.832293501903
385			450.3802790883631
386			458.3024387210342
387			467.7517006441761
388			477.87144600525033
389			487.78352141808773
390			496.60682316630545
391			503.7996514891209
392			510.89806102403963
393			520.2240405668257
394			534.0474241142525
395			553.5276946561712
396			578.778353998047
397			609.8691508085154
398			646.0962659055514
399			684.9585020425422
400			723.6999922931207
401			759.7339131280074
402			791.5474235539568
403			818.0480799075859
404			838.2179619643789
405			852.6568453016295
406			863.5422060509441
407			873.1149530544787
408			882.9456707912175
409			892.9816537900472
410			902.9292933710143
411			912.489012313376
412			921.3213739414418
413			929.0706143592935
414			935.3838591460933
415			939.9782935337033
416			942.6425620799881
417			943.1691082486128
418			941.5982927599462
419			938.6031861653355
420			934.9563368690955
421			931.2719325975255
422			927.0388752842437
423			921.2588325388964
424			912.9685229135582
425			902.1807566022521
426			889.9593671847526
427			877.420237357606
428			865.6997401543642
429			855.9899398476259
430			849.4922725220698
431			847.2431674359827
432			849.0167753377716
