Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-05
Heure : 15:41:44
InclX : 
InclY : 
Pressure : 
Comment : J4-4
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			358.25139354008564
318			351.2973372139688
319			346.7396501588965
320			344.29535654315094
321			343.6814805350135
322			344.61504630276625
323			346.81307801469075
324			349.99425011303964
325			353.9186409381117
326			358.38974376393253
327			363.21265172048453
328			368.01186693881226
329			371.9563444894123
330			374.14432222562436
331			373.9200410785483
332			372.276608112369
333			370.88476213705343
334			371.3609838431758
335			374.0509677945297
336			378.0433652908437
337			382.3741931619471
338			386.35699400005456
339			389.9660759533409
340			393.2719719850608
341			396.38691795033003
342			399.6870753157038
343			403.651549071684
344			408.74024457789426
345			415.0063779165143
346			422.1176757413517
347			429.72639214471116
348			437.41777112686805
349			444.62387451743444
350			450.7554560008726
351			455.3125622995161
352			458.3387732212193
353			460.0821839981933
354			460.797040953353
355			460.8529331806704
356			460.72578061967187
357			460.8958518609636
358			461.9225285267285
359			464.541613730256
360			469.512767606395
361			477.3994637858018
362			487.59666748814635
363			499.0684913486516
364			510.77526472251714
365			521.616801749234
366			530.4378911079307
367			536.0848191317959
368			538.1120568799279
369			537.6377698840181
370			535.9891894133646
371			534.4257336022995
372			533.805202146706
373			534.8380935979827
374			538.1757225161658
375			543.3208187684301
376			548.7321941696525
377			552.8333324132066
378			554.5914173753843
379			554.1790494523823
380			551.9307506742249
381			548.3464651134449
382			544.9151248014838
383			543.4916065088639
384			545.8563366171157
385			552.2978556311493
386			561.7323199051942
387			573.0248803006932
388			585.0593128349599
389			596.7614046260571
390			607.0626985061929
391			615.3094478850547
392			623.3866707098605
393			634.139701398083
394			650.3505661785417
395			673.4532449340345
396			703.6118208166621
397			740.9371426486294
398			784.5714014139048
399			831.4061201698504
400			878.0139258598729
401			921.1862069680051
402			959.104208537211
403			990.4932179637178
404			1014.1686188499089
405			1030.899700374854
406			1043.361349734238
407			1054.3049510430717
408			1065.6344294796384
409			1077.201462607947
410			1088.553165621258
411			1099.2519762244583
412			1108.9626598074672
413			1117.391897201621
414			1124.2451238754093
415			1129.19507117183
416			1131.881112935306
417			1131.941926097423
418			1129.3604086258142
419			1124.9979452720993
420			1119.8540409416437
421			1114.731387769499
422			1109.0341576454837
423			1101.5609811198951
424			1091.1517508202994
425			1077.7987996009208
426			1062.7353700593358
427			1047.256176845921
428			1032.692571926859
429			1020.4754848161234
430			1012.0526020990201
431			1008.6752688411995
