Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-01
Heure : 19:13:06
InclX : 
InclY : 
Pressure : 
Comment : J1-4
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			252.89334121879622
318			248.04891736545753
319			245.46141250444543
320			244.74640899582056
321			245.51948919964326
322			247.39623547597404
323			249.99223018487336
324			252.9308988240126
325			256.0324441993942
326			259.32340412902033
327			262.83960167621046
328			266.429142584919
329			269.4666091480242
330			271.25307586169305
331			271.277390027547
332			270.28696945960326
333			269.546464581848
334			270.27771477879685
335			272.70108456217554
336			276.04629397849163
337			279.50171376106505
338			282.5123405799788
339			285.134175929955
340			287.51219965171697
341			289.8148912253772
342			292.3594525917146
343			295.52109451493175
344			299.65758463915677
345			304.75889999192816
346			310.4663991286158
347			316.40770521775033
348			322.21089609446125
349			327.50508894204813
350			331.9195455205689
351			335.1463907789277
352			337.26040237685277
353			338.4803388716852
354			339.02746759517976
355			339.1679109374487
356			339.2091417454981
357			339.46059915869375
358			340.3206885960102
359			342.38620963973176
360			346.28079020128604
361			352.46200326948264
362			360.39838043824295
363			369.19377382027426
364			377.9562566207816
365			385.88740141994185
366			392.2737981954748
367			396.40735432129503
368			398.0296139603744
369			397.87493365358677
370			396.8104088212532
371			395.6779612956693
372			395.17042413572307
373			395.9259492779972
374			398.53324112581805
375			402.619352309674
376			406.9373157626562
377			410.21058238588813
378			411.61707695524177
379			411.3423205904899
380			409.70718318384166
381			407.1466595316628
382			404.77804864027433
383			403.97111531584466
384			406.03924379241937
385			411.16681943385396
386			418.4996628050029
387			427.1451273968688
388			436.25404231847756
389			445.07530074777816
390			452.87123109146944
391			459.20445978454654
392			465.47597000120993
393			473.78212419513443
394			486.1724054755135
395			503.698687192422
396			526.4730668674877
397			554.5682666758152
398			587.3453607913011
399			622.5119155462413
400			657.5412124995777
401			690.064310211725
402			718.7146710464315
403			742.5181360777375
404			760.5678662108886
405			773.4177023503324
406			783.0460521465251
407			791.488573483931
408			800.1675351892815
409			809.0197934329567
410			817.7617627597687
411			826.1085502230286
412			833.7665311105502
413			840.4385040064896
414			845.8294110043994
415			849.695552935109
416			851.8456154273848
417			852.0911599027667
418			850.4643394968951
419			847.5602796370525
420			844.0626191133774
421			840.513536956703
422			836.4500216456468
423			830.9738270345601
424			823.2187217098038
425			813.2089779113095
426			801.927732933043
427			790.4055840224918
428			779.6755476303213
429			770.7772154247027
430			764.7512855620789
431			762.4958536959848
432			763.8181268251507
433			768.0215229401686
