Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-06
Heure : 15:21:53
InclX : 
InclY : 
Pressure : 
Comment : J5-3
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			343.86884279342013
318			336.11403723941856
319			331.3121167616032
320			329.0276460107942
321			328.8251896378113
322			330.26931229347474
323			332.92457862860454
324			336.36080196040973
325			340.27947995178465
326			344.52019067376335
327			348.9286170175947
328			353.18139348568627
329			356.52872415434433
330			358.1546158270653
331			357.48635277824945
332			355.58181669745534
333			354.1690131556955
334			354.9146272538544
335			358.05577948298406
336			362.41548569019665
337			366.75794666066804
338			370.2744771590189
339			373.1733145002672
340			375.81078662473726
341			378.54380535587427
342			381.7329777455127
343			385.7403521600674
344			390.91015890677664
345			397.2136862869022
346			404.26872127114854
347			411.6789929415634
348			419.01781117338817
349			425.7889488514287
350			431.48650603578136
351			435.68663353075056
352			438.46493086846755
353			440.084925365475
354			440.8136231123666
355			440.98065170256024
356			440.97336750852156
357			441.18184577506844
358			442.11481626280425
359			444.54560744867814
360			449.2833288091125
361			456.9301662260794
362			466.85584587927696
363			477.97566123490446
364			489.20541874174637
365			499.4848915772734
366			507.7756454592921
367			513.0432605057917
368			514.9049480776796
369			514.4167421134218
370			512.8270469337633
371			511.3241950644503
372			510.7407481246812
373			511.7787820370537
374			515.081490348883
375			520.1488602370736
376			525.4418490403381
377			529.3863708155899
378			530.9740963460517
379			530.4510136389707
380			528.2316010871981
381			524.8685289762016
382			521.7406580781795
383			520.5325556801318
384			522.8612047760039
385			528.9901406997294
386			537.9378637953118
387			548.676521092696
388			560.1771404185934
389			571.4082251129317
390			581.3379326493314
391			589.3281799069923
392			597.1513899578417
393			607.4917871709771
394			622.9758676721203
395			644.9994946100519
396			673.799241025523
397			709.5627227635345
398			751.5009602431378
399			796.555863041878
400			841.3478314551288
401			882.724246282532
402			918.9745623816508
403			948.9527168647164
404			971.5964099188974
405			987.6568990052562
406			999.6541612125502
407			1010.1791661803658
408			1021.0332431848179
409			1032.1054901456266
410			1043.0012216265113
411			1053.3311120949195
412			1062.7416308379688
413			1070.8939094080915
414			1077.4504455545807
415			1082.1052528095627
416			1084.5844901200066
417			1084.6164501585122
418			1082.2224701516727
419			1078.1717665689048
420			1073.3511412524324
421			1068.4699920082055
422			1062.9771117743048
423			1055.7754677398461
424			1045.8061844915158
425			1033.0746164979835
426			1018.7320459725189
427			1003.9865393942065
428			990.0912162986314
429			978.4216471375643
430			970.3740086016584
