Nom de l'instrument : SAM_80E0
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_80E0.dat
Date : 2017-07-05
Heure : 12:49:08
InclX : 
InclY : 
Pressure : 
Comment : J1-5
Mission : VITEL

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			179.94933440397358
318			176.21462682128043
319			174.39990944860298
320			174.14869967092707
321			175.1045148732384
322			176.91087244052267
323			179.2112897577657
324			181.6577765045053
325			184.11540643570535
326			186.67266615272214
327			189.42820439351144
328			192.32062855956855
329			194.88483622842628
330			196.59305475589449
331			197.0530388419744
332			196.78093201650984
333			196.6661968412926
334			197.56846618718737
335			199.648674369078
336			202.37661319179253
337			205.19319849167607
338			207.71031254214125
339			209.94689435925616
340			211.9811611091616
341			213.91171493180607
342			215.96616860492296
343			218.42245518250706
344			221.5472142165994
345			225.36835219169427
346			229.68748717297822
347			234.29713919626988
348			238.94683994369788
349			243.2878515810829
350			246.95776666042403
351			249.65708979654457
352			251.4692758144791
353			252.62187237709537
354			253.3411694557087
355			253.82315589524225
356			254.2358868924074
357			254.74683706443838
358			255.62153030426086
359			257.3441396840134
360			260.42840563834625
361			265.26290918742114
362			271.4907681038339
363			278.48023284745574
364			285.5985749089081
365			292.2024278148642
366			297.6387521716131
367			301.2561626041107
368			302.8091131395696
369			302.94816415549695
370			302.4436853261529
371			302.02486322223336
372			302.17698043104855
373			303.2958631493213
374			305.7429175418035
375			309.2116717280341
376			312.78863725100854
377			315.53994536324177
378			316.8813108231407
379			317.00349637755767
380			316.2013757047214
381			314.8400110223098
382			313.7040919405532
383			313.73357834905744
384			315.8305515388141
385			320.1390495043261
386			326.1057870587904
387			333.151430969234
388			340.6767784845753
389			348.03780895620895
390			354.5843614773092
391			359.91598545562965
392			365.1609004745497
393			372.0255629430933
394			382.1777775988972
395			396.4626370298018
396			414.9502163530567
397			437.6782203754886
398			464.1236279431993
399			492.4605760879763
400			520.6786027780263
401			546.8953777330631
402			570.0426294636237
403			589.3707398386848
404			604.1828914066581
405			614.9273579778229
406			623.1691938576356
407			630.5183006916461
408			638.093043229178
409			645.8214566603385
410			653.4549261501567
411			660.7487126193265
412			667.4839602846096
413			673.4524156721978
414			678.4460736026488
415			682.2620857493034
416			684.7028636634778
417			685.5715138521371
418			684.8668585250821
419			683.087206095322
420			680.8093967334737
421			678.4941459096008
422			675.7770054398205
423			671.9362418552939
424			666.2754324487685
425			658.8035798073346
426			650.2892652803556
427			641.538690232182
428			633.3753841466927
429			626.6699730707272
430			622.3010085371661
431			621.0262171373369
432			622.6790320226207
