[Spectrum]
Version            = 1
IDData             = DLAB_2023-07-19_11-11-12_122_599
IDDevice           = SAM_80E0
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2023-07-19 11:10:12
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
Mission            = No Mission
MissionSub         = 1
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2023-07-17_10-22-22_926_969
IDDataCal = 
IntegrationTime = 128
 150 0.128600711679516 0 0
 151 0.124110048332339 0 0
 152 0.119571946110135 0 0
 153 0.114986678784815 0 0
 154 0.110428169853186 0 0
 155 0.106086510123057 0 0
 156 0.101900002217239 0 0
 157 0.0979021873312886 0 0
 158 0.0940876573821004 0 0
 159 0.0905111117759178 0 0
 160 0.0870255707950273 0 0
 161 0.0838270925305433 0 0
 162 0.0806282206554646 0 0
 163 0.07741192307142 0 0
 164 0.0743650236081331 0 0
 165 0.0712854310725961 0 0
 166 0.0682597227931459 0 0
 167 0.0652961749891848 0 0
 168 0.0623480425424261 0 0
 169 0.0595166562756411 0 0
 170 0.0567087739756757 0 0
 171 0.054063394397625 0 0
 172 0.051558898974986 0 0
 173 0.0491737698387451 0 0
 174 0.0470041894588237 0 0
 175 0.0449822845437374 0 0
 176 0.043090779588618 0 0
 177 0.0412873662904148 0 0
 178 0.0396260865577628 0 0
 179 0.0380479860960219 0 0
 180 0.0366036171064088 0 0
 181 0.0352324819163785 0 0
 182 0.0339318241619452 0 0
 183 0.0326139400856682 0 0
 184 0.0313415074865798 0 0
 185 0.0300978333945815 0 0
 186 0.0288745733650207 0 0
 187 0.0276968294844916 0 0
 188 0.0265102568678182 0 0
 189 0.025252101478352 0 0
 190 0.0239474260844786 0 0
 191 0.0225794639963532 0 0
 192 0.0213072361642493 0 0
 193 0.0201684780860807 0 0
 194 0.0191130199719844 0 0
 195 0.0181196413946157 0 0
 196 +NAN 0 0
 197 +NAN 0 0
 198 +NAN 0 0
 199 +NAN 0 0
 200 +NAN 0 0
 201 +NAN 0 0
 202 +NAN 0 0
 203 +NAN 0 0
 204 +NAN 0 0
 205 +NAN 0 0
 206 +NAN 0 0
 207 +NAN 0 0
 208 +NAN 0 0
 209 +NAN 0 0
 210 +NAN 0 0
 211 +NAN 0 0
 212 +NAN 0 0
 213 +NAN 0 0
 214 +NAN 0 0
 215 +NAN 0 0
 216 +NAN 0 0
 217 +NAN 0 0
 218 +NAN 0 0
 219 +NAN 0 0
 220 +NAN 0 0
 221 +NAN 0 0
 222 +NAN 0 0
 223 +NAN 0 0
 224 +NAN 0 0
 225 +NAN 0 0
 226 +NAN 0 0
 227 +NAN 0 0
 228 +NAN 0 0
 229 +NAN 0 0
 230 +NAN 0 0
 231 +NAN 0 0
 232 +NAN 0 0
 233 +NAN 0 0
 234 +NAN 0 0
 235 +NAN 0 0
 236 +NAN 0 0
 237 +NAN 0 0
 238 +NAN 0 0
 239 +NAN 0 0
 240 +NAN 0 0
 241 +NAN 0 0
 242 +NAN 0 0
 243 +NAN 0 0
 244 +NAN 0 0
 245 +NAN 0 0
 246 +NAN 0 0
 247 +NAN 0 0
 248 +NAN 0 0
 249 +NAN 0 0
 250 +NAN 0 0
 251 +NAN 0 0
 252 +NAN 0 0
 253 +NAN 0 0
 254 +NAN 0 0
 255 +NAN 0 0
[END] of [DATA]
[END] of [Spectrum]

