[Spectrum]
Version            = 1
IDData             = DLAB_2022-04-07_09-35-10_099_829
IDDevice           = SAM_877E
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2022-04-07 09:27:39
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station_2
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $03 $05 Intensity counts
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 12 0 0
 1 0.0207578607063464 0.018407089380908 0
 2 0.0206905265384289 0.0182750754533578 0
 3 0.0206770229251869 0.0182252235726245 0
 4 0.0206605359372717 0.0186022707628158 0
 5 0.0206989165926956 0.0183888371997576 0
 6 0.0206880269872524 0.0181909478407439 0
 7 0.0207189704048953 0.0183236647286373 0
 8 0.0206714750940575 0.0185276806829248 0
 9 0.0206982886515617 0.0183289570930991 0
 10 0.0206833988220627 0.0184775587550966 0
 11 0.0206872629544029 0.018416903594074 0
 12 0.0206611553290543 0.0183750443741892 0
 13 0.0206817866586625 0.0185993040851316 0
 14 0.0206699519137022 0.0186656215070568 0
 15 0.0206912548035839 0.0181754617657766 0
 16 0.0206693597402628 0.0184545913107744 0
 17 0.0207019362584929 0.0185559771496854 0
 18 0.0206786972022419 0.0186247173147455 0
 19 0.0206948673407268 0.0185669823979699 0
 20 0.0206764290069819 0.0183519833647457 0
 21 0.0206916526101372 0.0186481611382027 0
 22 0.0206600735743918 0.0183573706908232 0
 23 0.0206847852127962 0.0184651634712487 0
 24 0.0206540584950389 0.0184894055657886 0
 25 0.0206699965797011 0.0185401356669061 0
 26 0.0206686703833803 0.0184745819528284 0
 27 0.0206997013882555 0.0186530884939538 0
 28 0.0206699492965538 0.0187028623455653 0
 29 0.020679615472369 0.0185669036706009 0
 30 0.0206667502688544 0.0184127020662612 0
 31 0.0206931388014622 0.018480094439712 0
 32 0.0206720721528406 0.0185812215780447 0
 33 0.0207061217766538 0.018569071553517 0
 34 0.0206708518637907 0.0183236713619855 0
 35 0.0206853205068776 0.0182407709187813 0
 36 0.0206690924421752 0.0185834814550261 0
 37 0.0206957685121513 0.0183681420263041 0
 38 0.0206616133300202 0.0183423334142275 0
 39 0.0207035672653614 0.0185380273095617 0
 40 0.020664747801393 0.0184051611713347 0
 41 0.0206989331679686 0.0183695716873946 0
 42 0.0206566274878857 0.0182340440054989 0
 43 0.0206953715779808 0.0184536135901679 0
 44 0.0206515861622055 0.0184221531908963 0
 45 0.0206869513392695 0.0181503072367411 0
 46 0.0206801420426225 0.018362644377173 0
 47 0.0206966162937489 0.0184761729090163 0
 48 0.0206577240730556 0.0184948639385161 0
 49 0.0207061465523251 0.0183398017445333 0
 50 0.0206814732987635 0.0183231853819518 0
 51 0.0206921313738136 0.018305121378415 0
 52 0.0206826457812364 0.0182883362145789 0
 53 0.0206956292798576 0.0184660439609362 0
 54 0.02068592925559 0.0184144066621768 0
 55 0.0207047339901078 0.0182580237336628 0
 56 0.0206752844407584 0.0182061900528854 0
 57 0.0207070951813734 0.0183083703225195 0
 58 0.0206784091414439 0.0183149247687498 0
 59 0.0206995614580557 0.0185000554062611 0
 60 0.0206842146744501 0.0184170556373963 0
 61 0.0206925773358971 0.0182324684107488 0
 62 0.0206705053533456 0.0182578315411279 0
 63 0.0207099244932454 0.0182447914260141 0
 64 0.0206726322225932 0.0184014016339835 0
 65 0.0206990587910907 0.0184912751225992 0
 66 0.0206768346649803 0.0186146822809104 0
 67 0.0206990968269805 0.0184212032256149 0
 68 0.0206786858612656 0.0184311487092498 0
 69 0.020713306372378 0.0182638677133926 0
 70 0.0206740576960759 0.0183027023010778 0
 71 0.0206732127061032 0.0183263140529805 0
 72 0.0206778419181523 0.018362195927925 0
 73 0.0207117393984065 0.0185683134316469 0
 74 0.0206802104374334 0.0182359432378145 0
 75 0.0207141572945536 0.0183938095924514 0
 76 0.020670819760104 0.0182438756748443 0
 77 0.0207080036808133 0.0184176412922142 0
 78 0.0206725664449307 0.0185318905897037 0
 79 0.0206843402975722 0.0184605183819181 0
 80 0.0206871104618908 0.0183260288190096 0
 81 0.02072277905369 0.0184220098756636 0
 82 0.0206903606112218 0.0183303342110896 0
 83 0.0207026601617339 0.0186004888360256 0
 84 0.0206854663692805 0.0183317186606755 0
 85 0.0207110702808048 0.018419195939549 0
 86 0.0206761132044111 0.0182791265089045 0
 87 0.0207165954299816 0.0182515242743975 0
 88 0.0206817505420149 0.0184298620142683 0
 89 0.0207132732218319 0.0184369345599023 0
 90 0.0206959014632888 0.0184869023496667 0
 91 0.0207160697321109 0.0185960347172972 0
 92 0.0206922184376163 0.0184587362805661 0
 93 0.0207205204546407 0.0184001130188223 0
 94 0.0206858828448255 0.0182288572509224 0
 95 0.0207130371550483 0.0184023205272656 0
 96 0.020680812032607 0.0182131018271074 0
 97 0.0207226255143185 0.0184599575148749 0
 98 0.0206888126551952 0.018321607867022 0
 99 0.0207083631025237 0.0184318146624928 0
