[Spectrum]
Version            = 1
IDData             = DLAB_2023-07-19_15-07-29_845_177
IDDevice           = SAM_839E
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2023-07-19 15:06:39
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
Mission            = No Mission
MissionSub         = 1
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2023-07-10_10-37-27_434_387
IDDataCal = 
IntegrationTime = 64
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit3 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 5 0 0
 1 +NAN 0 0
 2 +NAN 0 0
 3 +NAN 0 0
 4 0.384108698047258 0 0
 5 0.453996870898509 0 0
 6 0.488844879139667 0 0
 7 0.534836266783552 0 0
 8 0.610703194084101 0 0
 9 0.661535086960211 0 0
 10 0.720452536527085 0 0
 11 0.817431801169786 0 0
 12 0.892778204434994 0 0
 13 1.00092734373514 0 0
 14 1.12866990516434 0 0
 15 1.22811478646361 0 0
 16 1.33721273825201 0 0
 17 1.42270723592588 0 0
 18 1.48253512235583 0 0
 19 1.51579117648575 0 0
 20 1.51017068196091 0 0
 21 1.48395476548988 0 0
 22 1.4505590050997 0 0
 23 1.42287372942941 0 0
 24 1.39961301828847 0 0
 25 1.3976528654511 0 0
 26 1.41097730755665 0 0
 27 1.42908868393405 0 0
 28 1.46578966390847 0 0
 29 1.51358660897309 0 0
 30 1.56876651207596 0 0
 31 1.63924043405717 0 0
 32 1.72700539913728 0 0
 33 1.82795164853695 0 0
 34 1.94277101673805 0 0
 35 2.06724177048787 0 0
 36 2.18660585638119 0 0
 37 2.30471973672105 0 0
 38 2.41725533241862 0 0
 39 2.51444687860256 0 0
 40 2.5902684332831 0 0
 41 2.63736964591237 0 0
 42 2.64375754667604 0 0
 43 2.62813987725049 0 0
 44 2.59047678007047 0 0
 45 2.5378330598486 0 0
 46 2.48060183599893 0 0
 47 2.41746193692508 0 0
 48 2.35085032801004 0 0
 49 2.29121704550464 0 0
 50 2.24059583057928 0 0
 51 2.19841540713671 0 0
 52 2.16755540949714 0 0
 53 2.13956509534761 0 0
 54 2.11133888808566 0 0
 55 2.08705334953968 0 0
 56 2.06673621105247 0 0
 57 2.05452921852817 0 0
 58 2.04944102057501 0 0
 59 2.05292775748952 0 0
 60 2.0623264939201 0 0
 61 2.08186567740223 0 0
 62 2.10599558033314 0 0
 63 2.13427447516461 0 0
 64 2.1660694962021 0 0
 65 2.19662076970521 0 0
 66 2.2286309105305 0 0
 67 2.2583990049346 0 0
 68 2.29064537730743 0 0
 69 2.32171813869172 0 0
 70 2.35156274545371 0 0
 71 2.37909197272158 0 0
 72 2.40322812759056 0 0
 73 2.42109613445595 0 0
 74 2.43118127512943 0 0
 75 2.43283080178821 0 0
 76 2.42215201588823 0 0
 77 2.39656866871804 0 0
 78 2.36281943763775 0 0
 79 2.3146405910605 0 0
 80 2.26247502309393 0 0
 81 2.20562216997325 0 0
 82 2.15128953677765 0 0
 83 2.09652693674842 0 0
 84 2.04294130431483 0 0
 85 1.99200642943329 0 0
 86 1.94160839518208 0 0
 87 1.89431294359253 0 0
 88 1.84853195284501 0 0
 89 1.80499888831674 0 0
 90 1.76351483891759 0 0
 91 1.72273914952287 0 0
 92 1.68286641710793 0 0
 93 1.64778165409668 0 0
 94 1.61521059698886 0 0
 95 1.58669358296285 0 0
 96 1.56250033040158 0 0
 97 1.53988859643356 0 0
 98 1.5180065708342 0 0
 99 1.49715716293273 0 0
 100 1.47380096061842 0 0
 101 1.44971064748227 0 0
 102 1.42436736559423 0 0
 103 1.40084559247755 0 0
 104 1.37925196341739 0 0
 105 1.36026144476675 0 0
 106 1.34407835343823 0 0
 107 1.32958481393478 0 0
 108 1.31802492260767 0 0
 109 1.30835947466563 0 0
 110 1.30023978272824 0 0
 111 1.29224427028609 0 0
 112 1.28469214624918 0 0
 113 1.27751511601165 0 0
 114 1.26810920501217 0 0
 115 1.25878562574089 0 0
 116 1.24659316501963 0 0
 117 1.23159968787607 0 0
 118 1.2187208035965 0 0
 119 1.20229473333234 0 0
 120 1.18591441315593 0 0
 121 1.16784703884231 0 0
 122 1.14879306975964 0 0
 123 1.12989246460375 0 0
 124 1.10934661272222 0 0
 125 1.08939616244733 0 0
 126 1.06975009268468 0 0
 127 1.0497121226909 0 0
 128 1.02967122426827 0 0
 129 1.00962740096851 0 0
 130 0.989863383512585 0 0
 131 0.970404494533764 0 0
 132 0.951860086018441 0 0
 133 0.934446524745473 0 0
 134 0.917583067962081 0 0
 135 0.900838481777746 0 0
 136 0.884821088173002 0 0
 137 0.868492871203426 0 0
 138 0.852101069919832 0 0
 139 0.835951513336275 0 0
 140 0.818788195702745 0 0
 141 0.801782759377734 0 0
 142 0.78446013354924 0 0
 143 0.765661072642568 0 0
 144 0.747042631014127 0 0
 145 0.728180195035063 0 0
 146 0.708173873341129 0 0
 147 0.688457286866529 0 0
 148 0.669085061954953 0 0
 149 0.649620467856853 0 0
 150 0.631856136217297 0 0
