Nom de l'instrument : SAM_85AE
Fichier_calib_utilise: /Users/mdlemineahmedou/Documents/Stage/pipeline_LOG/data/calibration/ALL_2023/Cal_SAM_85ae.dat
Date : 2024-11-05
Heure : 14:27:08

l_onde		data
310			nan
311			nan
312			nan
313			nan
314			nan
315			nan
316			nan
317			0.040315965942874864
318			0.04098344282623597
319			0.04192314444294081
320			0.043196580222747145
321			0.044865259595412765
322			0.04699069199069541
323			0.04963438683835287
324			0.05284196269659132
325			0.05643203382872408
326			0.06005381578242592
327			0.0633544238846359
328			0.06616633939048205
329			0.06865713795679039
330			0.07102963216276197
331			0.07345295046803293
332			0.07593496491243613
333			0.0784353481538438
334			0.08091668013444364
335			0.08338452391680895
336			0.08587720277107533
337			0.08843377834007111
338			0.09108450268867604
339			0.09384329287775138
340			0.09672229293778485
341			0.09971489706895839
342			0.1027218189848739
343			0.10561518694594631
344			0.10828029585627369
345			0.11080599046053823
346			0.11344115636674813
347			0.11643779527080449
348			0.11990829172471613
349			0.12369675148342105
350			0.1276168547426864
351			0.1314862821695806
352			0.13514335874147904
353			0.13843304937628442
354			0.1412162037326794
355			0.14361478990094534
356			0.14596451628117224
357			0.14860739641403065
358			0.1518879753551408
359			0.15615588770990238
360			0.16176137772666602
361			0.16893820269684823
362			0.17728605084207433
363			0.1861899136580703
364			0.19504076711908885
365			0.20333892716016444
366			0.2106786682848874
367			0.2166589642109825
368			0.2211590059387267
369			0.22465273950123707
370			0.22769006855478094
371			0.23079466848689464
372			0.23433816986327607
373			0.23863754802105036
374			0.24398066650396424
375			0.25008959318588675
376			0.25617211909593124
377			0.26141844950638465
378			0.2652707156089774
379			0.2677402806480195
380			0.26891664946447874
381			0.2690343374745801
382			0.2692311991482596
383			0.2709923447325629
384			0.27574045716649664
385			0.2835275156268193
386			0.29307872496326315
387			0.30306598869779755
388			0.3124993384771443
389			0.32120848009153513
390			0.329144902173983
391			0.33643626842789154
392			0.34439962264553237
393			0.3548439916434742
394			0.36954098470592583
395			0.3893041219086042
396			0.4139533658667352
397			0.44326140941647835
398			0.4764025229909189
399			0.5109834328440176
400			0.5443573361533244
401			0.5741235561807478
402			0.59969668986266
403			0.6213034793473093
404			0.6391925711666697
405			0.6541252636691746
406			0.6674354659010108
407			0.6804868294881655
408			0.694274910013792
409			0.7087465489079003
410			0.723663058566974
411			0.7387657784480344
412			0.7536338810423141
413			0.7677677417113498
414			0.7806774006659027
415			0.7922115631463507
416			0.8026282794177271
417			0.8122100734450273
418			0.8212183433067994
419			0.8298486427902709
420			0.8382837339515025
421			0.8466294344873991
422			0.8542987095325141
423			0.8603377214769109
424			0.8638185648056625
425			0.8649798796845685
